Url, Site, Type, Size, Date Created, Date Modified, Sub-Directories, Owner
\\lehi3\www$\defaulttime.htm, \, .htm, 16763B, 2008/04/18, 2008/04/18, 0, S-1-5-21-1606980848-308236825-1801674531-28973
\\lehi3\www$\defaultXML.asp, \, .asp, 6215B, 2006/03/31, 2012/01/19, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\defaultXML.htm, \, .htm, 6313B, 2006/03/31, 2012/01/19, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\defaultXML1.asp, \, .asp, 6786B, 2006/03/31, 2012/01/19, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\default_before_meta_tags.htm, \, .htm, 16047B, 2006/03/31, 2012/01/19, 0, BUILTIN\Administrators
\\lehi3\www$\default_BU_KR.htm, \, .htm, 14550B, 2011/05/02, 2011/07/27, 0, BYUI\kirkr92
\\lehi3\www$\default_nav_test.htm, \, .htm, 6401B, 2006/03/31, 2010/10/14, 0, BYUI\skabone
\\lehi3\www$\default_new.htm, \, .htm, 15943B, 2006/03/31, 2012/01/19, 0, S-1-5-21-1606980848-308236825-1801674531-28625
\\lehi3\www$\disclaimer-housing.asp, \, .asp, 2350B, 2006/03/31, 2001/08/06, 0, BUILTIN\Administrators
\\lehi3\www$\disclaimer.asp, \, .asp, 7364B, 2008/02/05, 2008/02/05, 0, S-1-5-21-1606980848-308236825-1801674531-28973
\\lehi3\www$\disclaimerold.asp, \, .asp, 1932B, 2006/03/31, 2001/08/06, 0, BUILTIN\Administrators
\\lehi3\www$\favicon.ico, \, .ico, 1406B, 2006/03/31, 2006/01/06, 0, S-1-5-21-1606980848-308236825-1801674531-38223
\\lehi3\www$\favicon1.ico, \, .ico, 1406B, 2006/03/31, 2004/01/23, 0, S-1-5-21-1606980848-308236825-1801674531-38223
\\lehi3\www$\footer.xml, \, .xml, 1499B, 2006/03/31, 2004/10/29, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\footer.xsl, \, .xsl, 1683B, 2006/03/31, 2004/11/01, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\FreeMind-pc.zip, \, .zip, 13641195B, 2011/06/03, 2011/06/03, 0, BUILTIN\Administrators
\\lehi3\www$\go.gif, \, .gif, 1709B, 2006/03/31, 2004/08/09, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\googlee71d88d7cad75d97.html, \, .html, 53B, 2013/03/20, 2013/03/20, 0, BUILTIN\Administrators
\\lehi3\www$\googlehostedservice.html, \, .html, 22B, 2008/06/30, 2008/06/30, 0, BUILTIN\Administrators
